class,name,type,method,initialization_arg_1,method_arg_1,method_arg_3,method_arg_3,expected
StringUtil,string concatonation 1,instance,greet,,Bob,,,"Hello, Bob"
NumberUtil,if statement 1.1,instance,largest,,1,2,,2
NumberUtil,if statement 1.1,instance,largest,,3,2,,3
CokeMachine,initialization arg 1,instance,inventory_amount,45,,,,45
GradingMachine,if statement 2.1,instance,pass?,,45,,,true
GradingMachine,if statement 2.2,instance,pass?,,44,,,false
GradingMachine,if elsif else statement (boundary) 1.1.1,instance,grade,,90,,,A
GradingMachine,if elsif else statement 1.1.2,instance,grade,,91,,,A
GradingMachine,if elsif else statement (boundary) 1.2.1,instance,grade,,80,,,B
GradingMachine,if elsif else statement 1.2.1,instance,grade,,81,,,B
GradingMachine,if elsif else statement (boundary) 1.3.1,instance,grade,,70,,,C
GradingMachine,if elsif else statement 1.3.1,instance,grade,,71,,,C
GradingMachine,if elsif else statement (boundary) 1.4.1,instance,grade,,60,,,D
GradingMachine,if elsif else statement 1.4.2,instance,grade,,61,,,D
GradingMachine,if elsif else statement (boundary) 1.5.1,instance,grade,,45,,,E
GradingMachine,if elsif else statement 1.5.2,instance,grade,,45,,,E
GradingMachine,if elsif else statement 1.6.1,instance,grade,,7,,,F
GradingMachine,if elsif else statement 1.6.2,instance,grade,,0,,,F